Année du Baccalauréat;Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
2022;Biologie/Ecologie,Sciences de la vie et de la Terre Spécialité;BTS Service;0;0;0
2022;Histoire-Géographie, Géopolitique et Sciences politiques,Humanités, Littérature et Philosophie;Licence Archéologie, Ethno, Préhistoire, Anthropologie;251;192;45
2022;Histoire-Géographie, Géopolitique et Sciences politiques,Humanités, Littérature et Philosophie;CPGE ECG;275;95;36
2022;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;CPGE S;63;9;4
2022;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Licence Géographie;40;37;14
2022;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;Licence Histoire;996;797;222
2022;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;Formations des écoles nationales vétérinaires;0;0;0
2022;Littérature et langues et cultures de l'Antiquité,Art;Licence Génie civil;0;0;0
2022;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences de l information et de la communication;5;5;1
2022;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;DCG;0;0;0
2022;Littérature et langues et cultures de l'Antiquité,Langues, littératures et cultures étrangères et régionales;Licence Informatique;0;0;0
2022;Littérature et langues et cultures de l'Antiquité,Physique-Chimie Spécialité;Licence STAPS;1;1;1
2022;Littérature et langues et cultures de l'Antiquité,Sciences Economiques et Sociales Spécialité;Licence Chimie;1;0;0
2022;Littérature et langues et cultures de l'Antiquité,Sciences Economiques et Sociales Spécialité;Licence Psychlogie, Sciences cognitives;9;5;5
2022;Mathématiques Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;CPGE ECG;1847;1575;728
2022;Mathématiques Spécialité,Humanités, Littérature et Philosophie;BTS Production;20;9;2
2022;Mathématiques Spécialité,Sciences de l'ingénieur et sciences physiques;Sciences po;9;1;0
2022;Mathématiques Spécialité,Sciences de la vie et de la Terre Spécialité;PASS;7061;3813;2044
2022;Mathématiques Spécialité,Sciences de la vie et de la Terre Spécialité;BTS Agricole;948;725;242
2022;Physique-Chimie Spécialité,Sciences de la vie et de la Terre Spécialité;Licence Psychlogie, Sciences cognitives;7014;4960;796
2022;Physique-Chimie Spécialité,Sciences de la vie et de la Terre Spécialité;Ecoles de Commerce;500;376;236
2022;Physique-Chimie Spécialité,Sciences de la vie et de la Terre Spécialité;Ensemble des bacheliers;48175;46349;43085
2022;Sciences Economiques et Sociales Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence MASS;101;56;8
2022;Sciences Economiques et Sociales Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;DCG;1209;678;215
2022;Sciences Economiques et Sociales Spécialité,Humanités, Littérature et Philosophie;Ecoles de Commerce;217;165;96
2022;Sciences Economiques et Sociales Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Génie civil;3;1;0
2022;Sciences Economiques et Sociales Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Langues et littératures étrangères;6753;5687;1816
2022;Sciences Economiques et Sociales Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Pluri Sciences de la vie, de la santé, de la terre et de l univers;19;5;1
2022;Sciences Economiques et Sociales Spécialité,Langues, littératures et cultures étrangères et régionales;Licence L.AS;2115;618;109
2022;Sciences Economiques et Sociales Spécialité,Numérique et Sciences Informatiques;Licence Chimie;8;4;1
2022;Sciences Economiques et Sociales Spécialité,Numérique et Sciences Informatiques;Licence LEA;63;44;9
2022;Sciences Economiques et Sociales Spécialité,Numérique et Sciences Informatiques;Licence L.AS;117;34;5
2022;Sciences Economiques et Sociales Spécialité,Numérique et Sciences Informatiques;BUT Service;476;174;85
2022;Sciences de l'ingénieur et sciences physiques,Humanités, Littérature et Philosophie;Licence Sciences de l information et de la communication;1;0;0
2022;Sciences de l'ingénieur et sciences physiques,Langues, littératures et cultures étrangères et régionales;Licence LEA;31;23;9
2022;Sciences de l'ingénieur et sciences physiques,Langues, littératures et cultures étrangères et régionales;BUT Service;18;6;2
2022;Sciences de l'ingénieur et sciences physiques,Langues, littératures et cultures étrangères et régionales;Formations d'ART;14;2;1
2022;Sciences de l'ingénieur et sciences physiques,Numérique et Sciences Informatiques;Licence Formation générale aux métiers de l ingénieur;79;42;9
2022;Sciences de l'ingénieur et sciences physiques,Numérique et Sciences Informatiques;BTS Service;192;102;37
2022;Sciences de l'ingénieur et sciences physiques,Numérique et Sciences Informatiques;CPGE L;1;1;1
2022;Sciences de la vie et de la Terre Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences du langage - Linguistique;132;109;26
2022;Sciences de la vie et de la Terre Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Ecoles de Commerce;94;78;44
2022;Sciences de la vie et de la Terre Spécialité,Humanités, Littérature et Philosophie;CPGE S;29;1;1
2022;Sciences de la vie et de la Terre Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Pluri Lettres - Langues - Sciences humaines;87;71;16
2022;Sciences de la vie et de la Terre Spécialité,Numérique et Sciences Informatiques;Licence Pluri Sciences économiques - Gestion;26;12;5
2022;Sciences de la vie et de la Terre Spécialité,Sciences Economiques et Sociales Spécialité;Licence Physique et chimie;20;13;3
2022;Sciences de la vie et de la Terre Spécialité,Sciences Economiques et Sociales Spécialité;Licence Sciences religieuses;6;6;0
2022;Sciences de la vie et de la Terre Spécialité,Sciences Economiques et Sociales Spécialité;BUT Production;1340;354;116
2022;Sciences de la vie et de la Terre Spécialité,Sciences Economiques et Sociales Spécialité;BTS Production;510;188;47
2022;Sciences de la vie et de la Terre Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Géographie;6;6;1
2022;Sciences de la vie et de la Terre Spécialité,Sciences de l'ingénieur et sciences physiques;Licence L.AS;66;24;10
2022;Sciences de la vie et de la Terre Spécialité,Sciences de l'ingénieur et sciences physiques;Ecoles d'ingénieurs;15;8;8
2023;Art,Art;Licence Sciences juridiques;0;0;0
2023;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence LEA;182;141;49
2023;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Physique;0;0;0
2023;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Droit - Sciences éco - AES;2;0;0
2023;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences religieuses;7;7;1
2023;Art,Humanités, Littérature et Philosophie;Ecoles de Commerce;21;2;1
2023;Art,Humanités, Littérature et Philosophie;Formations des écoles nationales vétérinaires;0;0;0
2023;Art,Humanités, Littérature et Philosophie;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0;0
2023;Art,Langues, littératures et cultures étrangères et régionales;D.E  social;48;17;13
2023;Art,Langues, littératures et cultures étrangères et régionales;Licence Arts;3551;2504;1086
2023;Art,Langues, littératures et cultures étrangères et régionales;Licence Informatique;30;8;2
2023;Art,Langues, littératures et cultures étrangères et régionales;Licence Langues et littératures étrangères;2830;2308;878
2023;Art,Langues, littératures et cultures étrangères et régionales;Licence Pluri Sciences fondamentales et applications;0;0;0
